level,sample_id,scenario_type,outcome,rank_movement,baseline_rank,perturbed_rank,baseline_hit_turn,perturbed_hit_turn
1,public_0108,buying,improved,improved,4,1,1,2
1,public_0109,buying,worsened,unchanged,1,1,2,3
1,public_0110,browsing,worsened,worsened,1,2,2,2
1,public_0111,buying,worsened,worsened,1,5,2,3
1,public_0112,boundary,unchanged,unchanged,1,1,4,4
1,public_0113,browsing,unchanged,unchanged,1,1,2,2
1,public_0114,buying,unchanged,unchanged,1,1,2,2
1,public_0115,browsing,improved,improved,8,6,2,1
1,public_0116,buying,improved,improved,7,1,1,2
1,public_0117,buying,improved,improved,5,1,1,2
1,public_0118,buying,worsened,worsened,1,2,2,2
1,public_0119,buying,unchanged,unchanged,1,1,1,1
1,public_0120,browsing,unchanged,unchanged,2,2,3,3
1,public_0121,browsing,worsened,unchanged,1,1,2,3
1,public_0122,browsing,unchanged,unchanged,1,1,2,2
1,public_0123,intent_override,worsened,unchanged,1,1,3,4
1,public_0124,buying,unchanged,unchanged,1,1,2,2
1,public_0125,intent_override,unchanged,unchanged,1,1,4,4
1,public_0126,browsing,worsened,disappeared,1,,3,
1,public_0127,browsing,worsened,worsened,3,6,3,8
1,public_0128,browsing,unchanged,unchanged,1,1,2,2
1,public_0129,buying,improved,improved,4,1,1,2
1,public_0130,intent_override,improved,improved,4,1,3,4
1,public_0131,boundary,improved,improved,2,1,2,3
1,public_0132,buying,worsened,unchanged,1,1,2,3
1,public_0133,buying,unchanged,unchanged,1,1,2,2
1,public_0134,browsing,improved,unchanged,1,1,2,1
1,public_0135,buying,improved,improved,7,1,2,3
1,public_0136,buying,worsened,worsened,2,5,2,3
1,public_0137,browsing,worsened,worsened,7,10,2,3
1,public_0138,browsing,improved,improved,9,1,2,3
1,public_0139,browsing,worsened,worsened,1,2,2,2
1,public_0140,browsing,worsened,worsened,3,10,2,3
1,public_0141,browsing,unchanged,unchanged,1,1,2,2
1,public_0142,intent_override,unchanged,unchanged,1,1,4,4
1,public_0143,buying,improved,improved,7,1,1,2
1,public_0144,intent_override,worsened,disappeared,8,,6,
1,public_0145,buying,worsened,disappeared,9,,5,
1,public_0146,buying,unchanged,unchanged,1,1,2,2
1,public_0147,browsing,unchanged,unchanged,1,1,2,2
1,public_0148,buying,worsened,disappeared,1,,2,
1,public_0149,buying,worsened,disappeared,4,,2,
1,public_0150,browsing,worsened,worsened,1,2,2,3
1,public_0151,browsing,worsened,disappeared,1,,3,
1,public_0152,buying,unchanged,unchanged,1,1,2,2
1,public_0153,browsing,worsened,unchanged,1,1,2,3
1,public_0154,buying,improved,improved,3,1,2,3
1,public_0155,buying,improved,improved,7,1,1,9
1,public_0156,buying,unchanged,unchanged,1,1,1,1
1,public_0157,buying,improved,improved,4,3,1,2
1,public_0158,browsing,unchanged,unchanged,1,1,2,2
1,public_0159,buying,improved,improved,3,2,2,4
1,public_0160,buying,improved,improved,3,1,1,2
1,public_0161,buying,worsened,worsened,3,6,2,5
1,public_0162,browsing,worsened,worsened,1,2,2,3
1,public_0163,buying,worsened,worsened,1,2,2,2
1,public_0164,browsing,improved,improved,7,1,2,1
1,public_0165,buying,unchanged,unchanged,1,1,2,2
1,public_0166,intent_override,unchanged,unchanged,1,1,4,4
1,public_0167,browsing,improved,improved,2,1,2,3
1,public_0168,buying,unchanged,unchanged,1,1,1,1
1,public_0169,boundary,unchanged,unchanged,1,1,3,3
1,public_0170,browsing,worsened,worsened,1,4,3,3
1,public_0171,buying,worsened,worsened,1,8,2,3
1,public_0172,browsing,improved,improved,5,2,2,3
1,public_0173,browsing,unchanged,unchanged,1,1,3,3
1,public_0174,buying,worsened,worsened,4,9,3,5
1,public_0175,browsing,worsened,worsened,3,9,3,5
1,public_0176,browsing,improved,improved,9,3,1,2
1,public_0177,intent_override,worsened,disappeared,1,,4,
1,public_0178,buying,improved,improved,6,2,4,4
1,public_0179,buying,worsened,worsened,1,7,2,3
1,public_0180,boundary,improved,improved,3,1,3,4
1,public_0181,browsing,worsened,unchanged,1,1,2,3
1,public_0182,browsing,unchanged,unchanged,1,1,2,2
1,public_0183,intent_override,worsened,worsened,2,10,4,4
1,public_0184,browsing,improved,improved,3,2,2,3
1,public_0185,buying,improved,improved,7,1,1,2
1,public_0186,intent_override,unchanged,unchanged,1,1,4,4
1,public_0187,boundary,unchanged,unchanged,1,1,4,4
1,public_0188,buying,unchanged,unchanged,1,1,2,2
1,public_0189,buying,worsened,worsened,2,8,2,4
1,public_0190,buying,worsened,worsened,1,10,2,3
1,public_0191,browsing,worsened,worsened,1,2,2,1
1,public_0192,boundary,unchanged,unchanged,1,1,3,3
1,public_0193,buying,worsened,unchanged,1,1,1,3
1,public_0194,buying,improved,improved,5,4,2,7
1,public_0195,browsing,improved,improved,2,1,2,3
1,public_0196,browsing,unchanged,unchanged,1,1,2,2
1,public_0197,intent_override,unchanged,unchanged,1,1,4,4
1,public_0198,intent_override,worsened,worsened,2,5,4,5
1,public_0199,buying,unchanged,unchanged,1,1,3,3
1,public_0200,buying,unchanged,unchanged,1,1,2,2
2,public_0001,buying,improved,improved,3,1,1,2
2,public_0002,intent_override,worsened,disappeared,1,,6,
2,public_0003,intent_override,worsened,unchanged,1,1,3,4
2,public_0004,intent_override,worsened,unchanged,1,1,3,4
2,public_0005,buying,worsened,worsened,1,3,2,1
2,public_0006,browsing,improved,improved,6,1,2,3
2,public_0007,browsing,worsened,worsened,1,4,2,2
2,public_0008,buying,worsened,disappeared,1,,2,
2,public_0009,buying,unchanged,unchanged,1,1,2,2
2,public_0010,buying,improved,improved,5,2,1,2
2,public_0011,browsing,worsened,disappeared,1,,3,
2,public_0012,browsing,worsened,disappeared,1,,3,
2,public_0013,intent_override,worsened,disappeared,1,,4,
2,public_0014,browsing,unchanged,unchanged,1,1,2,2
2,public_0015,browsing,worsened,disappeared,2,,2,
2,public_0016,browsing,worsened,disappeared,1,,3,
2,public_0017,buying,improved,improved,10,6,2,2
2,public_0018,buying,worsened,worsened,3,8,1,2
2,public_0019,browsing,worsened,disappeared,1,,2,
2,public_0020,buying,improved,improved,,8,,1
2,public_0021,browsing,worsened,disappeared,1,,2,
2,public_0022,buying,worsened,worsened,1,6,2,2
2,public_0023,intent_override,worsened,disappeared,1,,4,
